[INFO] 2018-08-27 16:37:18.659 [main] [DataSourceConfig]123 - dataSourceSlaver driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:37:18.794 [main] [DataSourceConfig]97 - dataSourceMaster driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:37:18.795 [main] [DataSourceConfig]123 - dataSourceSlaver driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:37:18.842 [main] [DataSourceConfig]97 - dataSourceMaster driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:37:18.843 [main] [DataSourceConfig]123 - dataSourceSlaver driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:37:18.904 [main] [DataSourceConfig]97 - dataSourceMaster driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:37:18.904 [main] [DataSourceConfig]123 - dataSourceSlaver driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:37:18.942 [main] [DataSourceConfig]97 - dataSourceMaster driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:37:18.943 [main] [DataSourceConfig]123 - dataSourceSlaver driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:37:18.974 [main] [DataSourceConfig]97 - dataSourceMaster driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:37:18.974 [main] [DataSourceConfig]123 - dataSourceSlaver driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:37:19.017 [main] [DataSourceConfig]97 - dataSourceMaster driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:37:19.069 [main] [DataSourceConfig]123 - dataSourceSlaver driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:37:19.072 [main] [DataSourceConfig]97 - dataSourceMaster driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:37:19.073 [main] [DataSourceConfig]123 - dataSourceSlaver driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:47:31.898 [main] [DataSourceConfig]97 - dataSourceMaster driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:47:31.965 [main] [DataSourceConfig]123 - dataSourceSlaver driverClassName:null, dburl:null, username:null, password:null
[INFO] 2018-08-27 16:49:08.615 [main] [DataSourceConfig]90 - dataSourceMaster driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 16:49:08.677 [main] [DataSourceConfig]116 - dataSourceSlaver driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 17:19:34.396 [main] [DataSourceConfig]90 - dataSourceMaster driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 17:19:34.528 [main] [DataSourceConfig]116 - dataSourceSlaver driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 17:20:30.819 [main] [DataSourceConfig]91 - dataSourceMaster driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 17:20:30.912 [main] [DataSourceConfig]117 - dataSourceSlaver driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 17:23:05.147 [main] [DataSourceConfig]91 - dataSourceMaster driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 17:23:05.264 [main] [DataSourceConfig]117 - dataSourceSlaver driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 17:24:05.195 [main] [DataSourceConfig]91 - dataSourceMaster driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 17:24:05.333 [main] [DataSourceConfig]117 - dataSourceSlaver driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 17:24:38.739 [main] [DataSourceConfig]91 - dataSourceMaster driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 17:24:38.819 [main] [DataSourceConfig]117 - dataSourceSlaver driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 17:26:19.398 [main] [DataSourceConfig]91 - dataSourceMaster driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 17:26:34.650 [main] [DataSourceConfig]117 - dataSourceSlaver driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 18:06:26.964 [main] [DataSourceConfig]90 - dataSourceMaster driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 18:06:27.576 [main] [DataSourceConfig]116 - dataSourceSlaver driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 18:12:35.443 [main] [DataSourceConfig]90 - dataSourceMaster driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
[INFO] 2018-08-27 18:12:35.552 [main] [DataSourceConfig]116 - dataSourceSlaver driverClassName:com.mysql.jdbc.Driver, dburl:jdbc:mysql://127.0.0.1:3306/zkmkt?useUnicode=true&characterEncoding=gbk&autoReconnect=true&allowMultiQueries=true, username:root, password:123456
